Day,Subject,Teacher,Group,Auditorium,Time
Monday,Теорія прийняття рішень,Шишацька,TTP-41,A1,8:40-10:15
Monday,Статистичне моделювання,Дорошенко,TK-4,A5,8:40-10:15
Monday,Інформаційні технології,Крак,TTP-41,A4,8:40-10:15
Monday,Інтелектуальні системи,Башук,MI-42,A2,8:40-10:15
Monday,Інтелектуальні системи,Ткаченко,MI-41,A4,10:35-12:10
Monday,Статистичне моделювання,Дорошенко,MI-41,A1,10:35-12:10
Monday,Теорія прийняття рішень,Закала,TTP-41,A6,10:35-12:10
Monday,Інформаційні технології,Крак,MI-42,A5,10:35-12:10
Monday,Теорія прийняття рішень,Закала,MI-42,A7,12:20-13:55
Monday,Проблеми штучного інтелекту,Мащенко,TTP-42,A6,12:20-13:55
Monday,Статистичне моделювання,Дорошенко,TK-4,A2,12:20-13:55
Tuesday,Інформаційні технології,Терещенко,TTP-41,A3,8:40-10:15
Tuesday,Теорія прийняття рішень,Криволап,TK-4,A1,8:40-10:15
Tuesday,Інтелектуальні системи,Башук,TTP-42,A7,8:40-10:15
Tuesday,Основи комп'ютерної лінгвістики,Мисечко,MI-42,A1,10:35-12:10
Tuesday,Інформаційні технології,Крак,TTP-41,A2,12:20-13:55
Tuesday,Інтелектуальні системи,Башук,MI-42,A2,12:20-13:55
Tuesday,Основи комп'ютерної лінгвістики,Терещенко,TTP-41,A3,12:20-13:55
Wednesday,Статистичне моделювання,Дорошенко,TTP-41,A6,8:40-10:15
Wednesday,Інтелектуальні системи,Башук,TK-4,A5,8:40-10:15
Wednesday,Теорія прийняття рішень,Красовська,MI-42,A5,8:40-10:15
Wednesday,Складність алгоритмів,Свистунов,TTP-42,A1,10:35-12:10
Wednesday,Інформаційні технології,Терещенко,TTP-41,A4,10:35-12:10
Wednesday,Інтелектуальні системи,Башук,MI-42,A2,12:20-13:55
Wednesday,Теорія прийняття рішень,Закала,TTP-41,A5,12:20-13:55
Wednesday,Проблеми штучного інтелекту,Бобиль,TTP-42,A2,12:20-13:55
Wednesday,Проблеми штучного інтелекту,Башняков,MI-41,A3,12:20-13:55
Wednesday,Інформаційні технології,Коваль,TTP-41,A4,12:20-13:55
Wednesday,Теорія прийняття рішень,Красовська,TTP-42,A1,12:20-13:55
Wednesday,Теорія прийняття рішень,Красовська,MI-42,A1,12:20-13:55
Thursday,Основи комп'ютерної лінгвістики,Терещенко,TTP-41,A2,8:40-10:15
Thursday,Складність алгоритмів,Свистунов,TK-4,A7,10:35-12:10
Thursday,Теорія прийняття рішень,Закала,TTP-41,A4,10:35-12:10
Thursday,Теорія прийняття рішень,Шишацька,TTP-42,A6,10:35-12:10
Thursday,Теорія прийняття рішень,Шишацька,TTP-41,A5,12:20-13:55
Friday,Проблеми штучного інтелекту,Башняков,TTP-42,A1,8:40-10:15
Friday,Інтелектуальні системи,Башук,MI-42,A6,8:40-10:15
Friday,Інтелектуальні системи,Башук,TK-4,A3,8:40-10:15
Friday,Теорія прийняття рішень,Красовська,MI-42,A5,8:40-10:15
Friday,Статистичне моделювання,Дорошенко,TTP-41,A5,8:40-10:15
Friday,Проблеми штучного інтелекту,Бобиль,MI-42,A2,8:40-10:15
Friday,Основи комп'ютерної лінгвістики,Мисечко,MI-42,A1,10:35-12:10
Friday,Інтелектуальні системи,Ткаченко,MI-41,A4,10:35-12:10
Friday,Теорія прийняття рішень,Красовська,MI-42,A7,10:35-12:10
Friday,Теорія прийняття рішень,Закала,TTP-42,A5,10:35-12:10
Friday,Проблеми штучного інтелекту,Башняков,TTP-42,A5,12:20-13:55
