Day,Subject,Teacher,Group,Auditorium,Time
Monday,Основи комп'ютерної лінгвістики,Пашко,MI-41,A6,8:40-10:15
Monday,Теорія прийняття рішень,Шишацька,TTP-41,A1,8:40-10:15
Monday,Статистичне моделювання,Дорошенко,TK-4,A5,8:40-10:15
Monday,Статистичне моделювання,Дорошенко,MI-41,A1,10:35-12:10
Monday,Теорія прийняття рішень,Закала,TTP-41,A6,10:35-12:10
Monday,Теорія прийняття рішень,Закала,MI-42,A7,12:20-13:55
Monday,Проблеми штучного інтелекту,Мащенко,TTP-42,A6,12:20-13:55
Monday,Статистичне моделювання,Дорошенко,TK-4,A2,12:20-13:55
Tuesday,Складність алгоритмів,Свистунов,MI-41,A5,8:40-10:15
Tuesday,Теорія прийняття рішень,Криволап,TK-4,A1,8:40-10:15
Tuesday,Інтелектуальні системи,Башук,TTP-42,A7,8:40-10:15
Wednesday,Статистичне моделювання,Дорошенко,TTP-41,A6,8:40-10:15
Wednesday,Інтелектуальні системи,Башук,TK-4,A5,8:40-10:15
Wednesday,Теорія прийняття рішень,Красовська,MI-42,A5,8:40-10:15
Wednesday,Складність алгоритмів,Галавай,MI-41,A5,10:35-12:10
Wednesday,Інтелектуальні системи,Ткаченко,TTP-41,A2,10:35-12:10
Wednesday,Складність алгоритмів,Свистунов,TTP-42,A1,10:35-12:10
Wednesday,Основи комп'ютерної лінгвістики,Терещенко,MI-41,A3,10:35-12:10
Wednesday,Теорія прийняття рішень,Закала,TTP-41,A5,12:20-13:55
Wednesday,Проблеми штучного інтелекту,Бобиль,TTP-42,A2,12:20-13:55
Wednesday,Проблеми штучного інтелекту,Башняков,MI-41,A3,12:20-13:55
Wednesday,Складність алгоритмів,Тарануха,MI-41,A1,12:20-13:55
Wednesday,Теорія прийняття рішень,Красовська,MI-42,A1,12:20-13:55
Thursday,Інтелектуальні системи,Ткаченко,TTP-41,A7,8:40-10:15
Thursday,Складність алгоритмів,Свистунов,MI-41,A2,10:35-12:10
Thursday,Теорія прийняття рішень,Закала,TTP-41,A4,10:35-12:10
Thursday,Теорія прийняття рішень,Шишацька,TTP-41,A5,12:20-13:55
Friday,Проблеми штучного інтелекту,Башняков,TTP-42,A1,8:40-10:15
Friday,Інтелектуальні системи,Башук,TK-4,A3,8:40-10:15
Friday,Теорія прийняття рішень,Красовська,MI-42,A5,8:40-10:15
Friday,Статистичне моделювання,Дорошенко,TTP-41,A5,8:40-10:15
Friday,Проблеми штучного інтелекту,Бобиль,MI-42,A2,8:40-10:15
Friday,Теорія прийняття рішень,Красовська,MI-42,A7,10:35-12:10
Friday,Проблеми штучного інтелекту,Башняков,TTP-42,A5,12:20-13:55
